Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
Os08g0374600	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.6	3.04413456941623e-21	
Os03g0576200	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-6.6	4.49555797934528e-18	
Os02g0810900	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	-6.6	3.01931224197949e-13	
Os10g0177200	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6.6	6.76338160231959e-9	
Os03g0322900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-6.6	8.75102232870478e-9	
Os04g0659300	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	6.6	3.15083106869387e-8	
Os06g0110200	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.6	3.73981259080051e-8	
Os03g0322900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	6.6	7.45029939289993e-8	
Os03g0322900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	6.6	1.07428870841346e-7	
Os02g0661100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'C418'	6.6	9.71953741303207e-7	
Os03g0180800	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	6.6	0.00000240956244880363	
Os02g0661100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	6.6	0.00000244186397194571	
Os05g0349800	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	6.6	0.00000460049633046531	
Os09g0325700	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	6.6	0.00000596123176976627	
Os06g0127100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6.6	0.000221323297578276	
Os03g0815100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.5	2.01821967847461e-132	
Os03g0230300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.5	1.49586264965851e-104	
Os03g0741100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.5	4.36372313241575e-104	
Os01g0733200	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain RS105' vs 'mock'	6.5	2.76276983109511e-59	
Os11g0167800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	-6.5	1.02620235049218e-57	
Os03g0741100	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.5	4.33526102612514e-55	
Os05g0349800	oryza sativa	E-MTAB-5025	'Laodelphax striatella' vs 'none'	6.5	1.11987158379498e-42	
Os01g0141000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.5	1.08887069354169e-34	
Os01g0968800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.5	1.62412976872876e-10	
Os09g0325700	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-6.5	1.552274360714e-8	
Os07g0154100	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '3 hour'	6.5	3.60009164076186e-8	
Os05g0381400	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	6.5	4.97015405502475e-8	
Os03g0180800	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.5	1.21553920932482e-7	
Os06g0110200	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	6.5	1.59607716767105e-7	
Os02g0661100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.5	1.87647785570243e-7	
Os03g0322900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '3 hour'	6.5	3.37984345432424e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	6.5	0.00000146537664943458	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME2' vs 'IR24; none'	-6.5	0.0000603212499094381	
Os09g0522200	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Thaibonnet'	6.4	8.5126178356046e-173	
Os01g0197700	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain CFBP7342' vs 'mock'	6.4	7.04289385139646e-78	
Os10g0409400	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS256' vs 'mock'	6.4	1.39720783247692e-65	
Os04g0659300	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain CFBP7341' vs 'mock'	6.4	4.42297312430652e-57	
Os08g0374600	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	6.4	2.05653571451504e-43	
Os03g0281900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-6.4	3.22761267783955e-20	
Os11g0684000	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.4	1.41795892576607e-17	
Os04g0670500	oryza sativa	E-GEOD-115371	'72 hour anaerobic environment; 24 hour aerobic environment' vs 'none' in '96 hour; coleoptile'	-6.4	2.50292693291454e-17	
Os08g0545500	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.4	1.22229816543592e-16	
Os10g0528100	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.4	6.1506148428278e-15	
Os03g0180800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.4	2.54882376823217e-10	
Os09g0109600	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-6.4	7.79471056862886e-9	
Os03g0186900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	6.4	2.33447116708027e-8	
Os03g0322900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.4	3.24060666839375e-8	
Os03g0736500	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	6.4	7.19412531705463e-8	
Os05g0381400	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-6.4	2.4433171194342e-7	
Os06g0246500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.4	2.69746973937445e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'C418'	6.4	0.00000545886796522131	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME1' vs 'IR24; none'	-6.4	0.0000301165216153554	
Os12g0150200	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6.4	0.000699636788880037	
Os11g0704500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.3	2.27530671959125e-218	
Os02g0662000	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-6.3	1.93075187053131e-137	
Os08g0546800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.3	4.4502304118503e-38	
Os08g0374701	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.3	5.35098641701033e-28	
Os03g0180800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.3	5.25516765407919e-26	
Os01g0823500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.3	1.47906074735334e-14	
Os03g0820500	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6.3	4.27298813699815e-9	
Os02g0814200	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	6.3	2.85972170033777e-8	
Os06g0246500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	6.3	7.92729423988093e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'K354'	6.3	8.37131855148987e-7	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	-6.3	0.0001530793603326	
Os02g0802500	oryza sativa	E-GEOD-115371	'72 hour anaerobic environment; 24 hour aerobic environment' vs 'none' in '96 hour; coleoptile'	-6.2	1.20728755200537e-234	
Os03g0820500	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.2	7.88442566980673e-73	
Os01g0727500	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.2	2.91471345538296e-39	
Os11g0126900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.2	9.10245109271235e-27	
Os02g0759400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6.2	7.61763849168212e-18	
Os11g0126900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.2	7.09444834046798e-16	
Os05g0475400	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	6.2	8.7685000908993e-15	
Os08g0545500	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.2	2.30086457399629e-12	
Os03g0286900	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.2	2.54040683825489e-9	
Os01g0733200	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	-6.2	9.42820291088443e-9	
Os02g0814200	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	6.2	1.91158634952396e-8	
Os05g0349800	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '3 hour'	6.2	5.12426247374127e-8	
Os02g0814200	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	6.2	7.51941086102467e-8	
Os02g0814200	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	6.2	9.46190518921692e-8	
Os03g0820300	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6.2	1.36177846047261e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'C418'	6.2	2.79189774230364e-7	
Os01g0733200	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6.2	4.26572856265013e-7	
Os06g0127100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6.2	6.57017171228027e-7	
Os12g0150200	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.2	0.00000117932370349173	
Os02g0661100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6.2	0.00000525521031434406	
Os02g0661100	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'C418'	6.2	0.000020972638261539	
Os09g0522000	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	-6.2	0.00014071298547232	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A-2' vs 'IR24; none'	-6.2	0.00051094916679856	
Os03g0322900	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	6.2	0.000574817723158058	
Os11g0211800	oryza sativa	E-GEOD-115371	'72 hour anaerobic environment; 24 hour aerobic environment' vs 'none' in '96 hour; coleoptile'	6.1	7.91366136461844e-160	
Os06g0604000	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'moderately resistant to bacterial panicle blight disease' at 'seedling stage'	-6.1	3.20458429018116e-112	
Os04g0673300	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.1	1.56667623653898e-82	
Os09g0325700	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6.1	1.28451930796432e-76	
Os03g0300400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-6.1	2.65350683975797e-59	
Os03g0610400	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	6.1	1.51536360929487e-40	
Os04g0301500	oryza sativa	E-MTAB-5941	'cold temperature regimen; 2 hour' vs 'none; 0 hour' in 'Volano'	6.1	4.92426385626582e-30	
Os01g0136200	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	6.1	1.84746571951171e-14	
Os02g0802500	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	6.1	5.7663905884525e-12	
Os06g0662200	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	6.1	2.75135894499046e-9	
Os05g0349800	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-6.1	3.53440864210474e-9	
Os06g0246500	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	6.1	3.80630886110355e-9	
Os03g0286900	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-6.1	1.02322877249002e-8	
Os05g0349800	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-6.1	1.11874966233616e-8	
Os02g0814200	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	6.1	1.17470007916158e-8	
Os06g0662200	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	6.1	2.89620389288138e-8	
Os01g0862800	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.1	6.55870118229253e-8	
Os06g0127100	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'C418'	6.1	7.95199837851476e-8	
Os03g0230300	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 48 hour' vs 'control; tolerant to chilling'	6.1	0.00000304135021094477	
Os06g0127100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	6.1	0.0000293687915358455	
Os12g0555000	oryza sativa	E-MEXP-2311	'mutant; internode pith parenchyma' vs 'wild type; internode pith parenchyma'	6.1	0.0000312493683004213	
Os09g0522000	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; none'	-6.1	0.000160703789788703	
Os09g0109600	oryza sativa	E-GEOD-58603	'none; wild type genotype; sodium chloride 140 millimolar; leaf' vs 'none; wild type genotype; normal watering; leaf'	6.1	0.0003077798062904	
Os05g0381400	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; mock'	6.1	0.000357189376613125	
Os03g0170900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-6	5.53653641264046e-175	
Os04g0684900	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	6	3.54379706494783e-133	
Os05g0475400	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS256' vs 'mock'	6	9.87640183167075e-60	
Os06g0127100	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 30 degree celsius'	-6	3.57914600873507e-40	
Os03g0782500	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	-6	5.3974071943619e-14	
Os03g0286900	oryza sativa	E-MEXP-2267	'30 hour' vs '1 hour' in 'anaerobic'	-6	4.61779510229917e-9	
Os06g0662200	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	6	8.89031123588143e-9	
Os03g0286900	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-6	1.00157809213286e-8	
Os09g0325700	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	6	1.72545794201579e-8	
Os02g0814200	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	6	9.34105859538231e-8	
Os01g0733200	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6	4.41050007320521e-7	
Os12g0555000	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	6	0.00000145876588257936	
Os02g0134200	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 48 hour' vs 'control; tolerant to chilling'	6	0.00000288291076695469	
Os02g0661100	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'K354'	6	0.00000852125112711666	
Os03g0180800	oryza sativa	E-GEOD-37940	'48 hour;cold stress' vs '0 hour;control' in 'K354'	6	0.0000100322815784248	
Os02g0661100	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'K354'	6	0.0000364465633566859	
Os03g0180800	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'K354'	6	0.0000589159814858422	
Os09g0127300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; none'	6	0.000099741287061321	
Os07g0561300	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 2 hour' vs 'control; sensitive to chilling'	6	0.000138722486490944	
Os09g0127300	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO86' vs 'IR24; none'	6	0.000189825658813637	
Os01g0348900	oryza sativa	E-GEOD-40242	'cea62 mutant' vs 'wild type'	6	0.00126593368605357	
Os03g0223400	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-5.9	0	
Os06g0561000	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS256' vs 'mock'	5.9	4.03185403088591e-68	
Os01g0197700	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain B8-12' vs 'mock'	5.9	1.32860528445598e-61	
Os02g0662000	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-5.9	4.3030523023973e-23	
Os01g0733200	oryza sativa	E-MEXP-2267	'24 hour' vs '1 hour' in 'anaerobic'	-5.9	4.55413263155697e-9	
Os01g0571300	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-5.9	1.50930988377788e-8	
Os03g0336100	oryza sativa	E-MEXP-1766	'24 hour, germination' vs '0 hour, dry seed'	-5.9	1.62020714946664e-8	
Os06g0662200	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	5.9	5.59259734372399e-8	
Os03g0286900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	5.9	1.187754960259e-7	
Os06g0246500	oryza sativa	E-MEXP-1766	'12 hour, germination' vs '0 hour, dry seed'	-5.9	1.40353074686557e-7	
Os10g0177200	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '6 hour'	5.9	1.67326512046055e-7	
Os03g0286900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	5.9	3.8091750867725e-7	
Os05g0381400	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.9	4.0618638387664e-7	
Os11g0126900	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	5.9	4.46354157554115e-7	
Os12g0555000	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	5.9	0.0000043395065797489	
Os03g0315400	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 24 hour' vs 'control; sensitive to chilling'	5.9	0.0000109248752340766	
Os02g0661100	oryza sativa	E-MEXP-2267	'12 hour' vs '1 hour' in 'anaerobic'	5.9	0.0000123348534942743	
Os03g0180800	oryza sativa	E-GEOD-37940	'12 hour;cold stress' vs '0 hour;control' in 'K354'	5.9	0.0000149145987007036	
Os06g0127100	oryza sativa	E-GEOD-37940	'6 hour;cold stress' vs '0 hour;control' in 'K354'	5.9	0.0000166022391618515	
Os09g0522000	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME2' vs 'IR24; none'	-5.9	0.0000830553906505971	
Os09g0522200	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99AME5' vs 'IR24; none'	-5.9	0.000175374135785356	
Os01g0862800	oryza sativa	E-GEOD-38023	'cold stress; tolerant to chilling; 24 hour' vs 'control; tolerant to chilling'	5.9	0.000258298883170844	
Os04g0659300	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'K354'	5.9	0.000308127752237442	
Os01g0968800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.9	0.000324147728174151	
Os05g0381400	oryza sativa	E-GEOD-58603	'none; salt-tolerant introgression line PL177; sodium chloride 140 millimolar; leaf' vs 'none; salt-tolerant introgression line PL177; normal watering; leaf'	5.9	0.00187979583776311	
Os03g0815100	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.8	1.96455589195785e-127	
Os10g0456800	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.8	1.83150581171604e-81	
Os01g0197700	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS279' vs 'mock'	5.8	5.29442208249808e-67	
Os05g0322900	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '96 hour; coleoptile'	-5.8	1.71839386704718e-66	
Os10g0409400	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain BLS279' vs 'mock'	5.8	5.98727577500142e-66	
Os10g0409400	oryza sativa	E-GEOD-67588	'Xanthomonas oryzae pv. oryzicola strain B8-12' vs 'mock'	5.8	2.41207891553505e-53	
Os10g0370500	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.8	2.74147492292808e-45	
Os08g0546800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	5.8	1.89890277298421e-28	
Os03g0820300	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	5.8	5.00974906701684e-28	
Os03g0180800	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-5.8	1.64822850222087e-20	
Os11g0126900	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.8	6.6196031466235e-19	
Os09g0127300	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-5.8	6.2697005316135e-16	
Os01g0727500	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	5.8	2.8577001273101e-14	
Os04g0243700	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '48 hour; coleoptile'	-5.8	7.36754648683067e-13	
Os01g0733200	oryza sativa	E-MEXP-2267	'27 hour' vs '1 hour' in 'anaerobic'	-5.8	2.59191822893298e-8	
Os06g0110200	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'susceptible to drought environment' at '6 hour'	5.8	8.22796962257023e-8	
Os03g0820300	oryza sativa	E-GEOD-41647	'drought environment' vs 'control' in 'tolerant to drought environment' at '3 hour'	5.8	5.56089738956818e-7	
Os04g0401700	oryza sativa	E-GEOD-62894	'Pish; avirulent line of rice blast fungus; resistant' at '2 day' vs 'Pish; water; resistant' at '2 day'	5.8	0.00000757133497164918	
Os07g0561300	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 48 hour' vs 'control; sensitive to chilling'	5.8	0.0000232265787068249	
Os06g0127100	oryza sativa	E-GEOD-37940	'2 hour;cold stress' vs '0 hour;control' in 'C418'	5.8	0.0000238056612021736	
Os12g0150200	oryza sativa	E-GEOD-37940	'24 hour;cold stress' vs '0 hour;control' in 'C418'	5.8	0.0000257792435822983	
Os05g0542500	oryza sativa	E-GEOD-60823	'spx1 spx2 mutant' vs 'wild type' in 'phosphate 200 micromolar'	5.8	0.0000331828530834492	
Os06g0127100	oryza sativa	E-GEOD-38023	'cold stress; sensitive to chilling; 8 hour' vs 'control; sensitive to chilling'	5.8	0.000128210761759781	
Os11g0684000	oryza sativa	E-GEOD-36272	'IR24; Xanthomonas oryzae PXO99A' vs 'IR24; none'	5.8	0.00031150728302291	
Os03g0267200	oryza sativa	E-MTAB-3230	'PEG Stress' vs 'normal' in 'Wild Type'	5.8	0.00046903802102447	
Os09g0109600	oryza sativa	E-GEOD-58603	'none; salt-tolerant introgression line PL177; sodium chloride 140 millimolar; leaf' vs 'none; salt-tolerant introgression line PL177; normal watering; leaf'	5.8	0.00187979583776311	
Os03g0736500	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '24 hour; plant embryo coleoptile'	-5.7	5.55806694478675e-109	
Os04g0578000	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	5.7	1.54692591919995e-106	
Os08g0374600	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 30 degree celsius'	-5.7	1.70788172639801e-59	
Os10g0521000	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 30 degree celsius'	-5.7	3.79166703069574e-55	
Os03g0820500	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '24 hour'	5.7	1.17369474639092e-44	
Os01g0867300	oryza sativa	E-CURD-28	'EXPA30::GFP' vs 'wild type genotype'	5.7	4.36618270620862e-40	
Os08g0374701	oryza sativa	E-MTAB-6740	'192 hour' vs '8 hour' in 'seed dormant stage; 30 degree celsius'	-5.7	5.5070690623569e-40	
Os11g0211800	oryza sativa	E-MTAB-4406	'Burkholderia glumae' vs 'control' in 'susceptible to bacterial panicle blight disease' at 'seedling stage'	5.7	2.19435952776801e-37	
Os03g0133000	oryza sativa	E-GEOD-115371	'anaerobic environment' vs 'none' in '72 hour; coleoptile'	-5.7	5.34621684172864e-28	
Os01g0862800	oryza sativa	E-MTAB-4306	'cadmium sulfate; 50 micromolar' vs 'none' in 'root' at '1 hour'	5.7	7.4175072422781e-15	
Os06g0127100	oryza sativa	E-MTAB-4994	'drought environment' vs 'normal watering'	5.7	8.36202404695176e-14	
